did,n_samples,n_features,imbalance_ratio,avg_corr,class_sep,best_algo
310,11183,6,0.02380298452806,0.2439725946940908,3.842708,SVC
4534,11055,30,0.7955172973850901,0.0,1.3943297,DecisionTree
1019,10992,16,0.116165718927701,0.2711952124870164,111.688774,SVC
1053,10885,21,0.239890648137601,,,DecisionTree
43972,10578,7,0.0,0.0,,LogisticRegression
44086,10578,7,1.0,0.0,165.65405,LogisticRegression
44117,10578,7,1.0,0.0607443483162419,632.4622,LogisticRegression
44071,10578,7,1.0,0.0,165.65405,LogisticRegression
44126,10578,7,1.0,0.0607443483162419,632.4622,LogisticRegression
44074,10578,7,1.0,0.0,165.65405,LogisticRegression
44082,10082,26,1.0,0.0952957192326956,25.055538,DecisionTree
44122,10082,26,1.0,0.0952957192326956,25.055538,DecisionTree
44113,10082,26,1.0,0.0952957192326956,25.055538,DecisionTree
46298,10000,12,0.567398119122257,0.0357281262695132,2.7448878,SVC
45026,10000,22,1.0,0.3866208107982013,50.281677,LogisticRegression
45023,10000,22,1.0,0.3866208107982013,50.281677,LogisticRegression
976,9961,14,0.1933628848688151,0.2324136642250494,19.102818,LogisticRegression
45554,9871,23,0.9219236760124612,0.0,,DecisionTree
45553,9871,23,0.9219236760124612,0.0,52.67575,LogisticRegression
819,9517,6,0.9889237199582028,0.1279000829964288,8.218667,LogisticRegression
1056,9466,38,0.0072355820387316,0.46099746942305,73483.93,DecisionTree
923,8641,4,0.8180096780980434,0.0,1.5617185,DecisionTree
833,8192,32,0.4501681713577624,0.0122133634038423,4.0469503,SVC
725,8192,8,0.6769703172978505,0.0085287352065901,4.737446,LogisticRegression
816,8192,8,0.9912493923189112,0.0067370532659309,1.2265311,SVC
735,8192,12,0.4334208223972003,0.2305190310721802,411066.66,DecisionTree
761,8192,21,0.4334208223972003,0.2398021379475718,411066.78,LogisticRegression
807,8192,8,0.965451055662188,0.0089673063889852,0.9616876,SVC
752,8192,32,0.9844961240310076,0.0085120234924965,25.471361,DecisionTree
24,8124,22,0.9306083650190116,0.0,,DecisionTree
43922,8124,22,0.9306083650190116,0.0,4.5563927,DecisionTree
43946,7608,23,1.0,0.0,122.57391,LogisticRegression
44034,7608,23,1.0,0.0,122.57391,LogisticRegression
43976,7608,20,1.0,0.0,122.56528,LogisticRegression
44078,7608,20,1.0,0.0,122.56528,LogisticRegression
44093,7608,20,1.0,0.0,122.56528,LogisticRegression
44157,7608,23,1.0,0.0,122.57391,LogisticRegression
44130,7608,20,1.0,0.1247265057510017,122.57388,LogisticRegression
1496,7400,20,0.9807280513918628,0.0175296343573521,1858.9968,SVC
1507,7400,20,0.9983796921415068,0.1663625846443908,3.9890854,LogisticRegression
803,7129,5,0.8844832143801216,0.1882119460476071,0.010535434,SVC
46280,7043,19,0.3612292230382682,0.0,,DecisionTree
45568,7043,19,0.3612292230382682,0.0,,DecisionTree
847,6574,14,0.87774921451014,0.4874033961466812,18.131676,SVC
46431,5960,20,0.249214001257598,,,DecisionTree
46517,5960,20,0.249214001257598,,,DecisionTree
1069,5589,36,0.0041322314049586,0.4977819505704084,95136.29,SVC
1021,5473,10,0.1139833095868105,0.2899245800908686,2588.5032,DecisionTree
1489,5404,5,0.4154007333682556,0.1260888571079874,1.3019221,DecisionTree
1460,5300,2,0.8125854993160054,0.189423166512815,0.18295598,SVC
42192,5278,13,0.8883720930232558,0.0,5.2944207,SVC
42193,5278,13,0.8883720930232558,0.0,5.2944207,SVC
46504,5227,20,0.0030704279408942,,3.8190726e+17,LogisticRegression
44115,5188,20,1.0,0.3812370146229076,790456.94,LogisticRegression
44124,5188,20,1.0,0.3812370146229076,790456.94,LogisticRegression
44084,5188,20,1.0,0.0,790130.44,LogisticRegression
41146,5124,20,1.0,0.0512197105168446,593.5735,DecisionTree
40900,5100,36,0.0149253731343283,0.6376841666882178,132.6674,LogisticRegression
44158,5032,45,1.0,0.0,2016180.2,DecisionTree
44185,5032,45,1.0,0.0,2016180.2,DecisionTree
40701,5000,20,0.1646866992778942,0.0,62.63659,DecisionTree
979,5000,40,0.5114873035066505,0.0885422824757327,4.0193267,SVC
44160,4970,12,1.0,0.0,59.521927,DecisionTree
44037,4970,12,1.0,0.0,59.521927,DecisionTree
43949,4970,12,1.0,0.0,59.521927,DecisionTree
45039,4966,11,1.0,0.0,5.316054,LogisticRegression
43892,4908,16,0.6065466448445171,0.0,22.840391,DecisionTree
40983,4839,5,0.0570117955439056,0.2376902952278673,93.80445,DecisionTree
1037,4562,14,0.3300291545189504,0.0,,DecisionTree
1558,4521,16,0.13025,0.0,368.88602,LogisticRegression
720,4177,8,0.9928435114503816,0.0,0.8470704,SVC
46358,4156,28,0.111527146295801,,,DecisionTree
46359,4156,28,0.111527146295801,,,DecisionTree
41156,4147,48,0.3300192431045542,,173.20583,LogisticRegression
728,4052,7,0.3151574164232392,0.0566027250825856,16.230923,LogisticRegression
871,3848,5,1.0,0.2965163040822925,0.29253313,DecisionTree
38,3772,29,0.0652358090934764,0.0,,DecisionTree
1000,3772,29,0.0835966676242459,0.0,,DecisionTree
41946,3772,29,0.0652358090934764,,48.76951,DecisionTree
